date,scope,run_name,detector,classifier,det_conf,det_iou,score,tp,fp,fn,precision,recall,f1,iou_threshold,num_images,total_gt_chars,total_pred_chars,changes,notes
2026-05-21 12:09:52,competition_submission,paddleocr_baseline,PaddleOCR built-in detector,PaddleOCR built-in recognizer,,,0.000904,6,2102,11157,0.002846,0.000537,0.000904,0.5,1103,11163,2108,"Original PaddleOCR pipeline","Baseline before custom detector/classifier"
2026-05-21 17:07:01,competition_submission,yolo_plus_hust_pretrain_cls,YOLO detector initial version,EfficientNet-B0 + ArcFace trained on HUST-OBC pretraining,,,0.001859,24,14640,11139,0.001637,0.00215,0.001859,0.5,1103,11163,14664,"Replaced PaddleOCR with YOLO + ancient-char classifier pretraining","Huge over-prediction and almost no correct recognition"
2026-05-22,competition_submission,yolo_aug1_plus_unicode_cls_v2,YOLOv8m detector aug1 (runs/yolo_ancient_chars_yolov8m_aug1/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.20,0.50,0.144921,1871,12787,9292,0.127644,0.167607,0.144921,0.5,1103,11163,14658,"Switched to competition-domain Unicode classifier and new augmented detector","Detector uses aug1 settings: no mosaic, no fliplr, milder text-friendly augmentation"
2026-05-22,competition_submission,yolo_olddet_plus_unicode_cls_v2,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.20,0.50,0.15387,1987,12677,9176,0.135502,0.177999,0.15387,0.5,1103,11163,14664,"Kept new Unicode classifier, reverted detector from aug1 back to original best detector","Current best online submission so far"
2026-05-21,local_val,old_pipeline_val,YOLO detector original best (models/detector_best.pt at that time),HUST-OBC classifier baseline,0.20,0.50,0.012931,135,8687,11923,0.015303,0.011196,0.012931,0.5,1191,12058,8822,"Local validation baseline before competition-domain classifier retraining","Source log: logs/eval_old_pipeline_val.log"
2026-05-21,local_val,unicode_cls_v2_val,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.20,0.50,0.350862,3663,5159,8395,0.415212,0.303782,0.350862,0.5,1191,12058,8822,"Replaced HUST-only classifier with competition-domain Unicode classifier","Best local validation result so far; source log: logs/eval_unicode_cls_v2_val.log"
2026-05-22,local_val,yolo_aug1_unicode_cls_v2_val,YOLOv8m detector aug1 (runs/yolo_ancient_chars_yolov8m_aug1/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.20,0.50,0.337657,3475,5050,8583,0.407625,0.28819,0.337657,0.5,1191,12058,8525,"Same classifier, swapped detector to aug1-trained detector","Detector mAP improved, but end-to-end local F1 dropped vs old detector; source log: logs/eval_yolo_aug1_unicode_cls_v2_val.log"
2026-05-22,local_val,sweep_focus1_best,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.12,0.45,0.353548,3635,4870,8423,0.427396,0.30146,0.353548,0.5,1191,12058,8505,"Added classifier low-confidence reject and tuned detector thresholds; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20","Current best local validation config under the new aligned evaluator; source csv: reports/sweep_end_to_end_focus1.csv"
2026-05-22,training,competition_unicode_cls_v2_crops_e12_resume,YOLOv8m detector original best (not retrained in this run),Competition-domain Unicode classifier v2 crops resumed from runs/competition_unicode_cls_v2_crops/last.pt,,,0.262781,,,,,,,,"Resumed classifier from epoch 8 to epoch 12 without optimizer state restore","Best val acc improved from 0.231373 to 0.262781; source log: logs/competition_unicode_cls_v2_crops_e12_resume.log"
2026-05-22,training,yolo_ancient_chars_yolov8m_continue10_b0p8,YOLOv8m detector continued from runs/yolo_ancient_chars_yolov8m/weights/last.pt,Competition-domain Unicode classifier v2 crops (not retrained in this run),,,0.56591,,,,,,,,"Continued detector for 10 epochs with AutoBatch target 0.8 VRAM fraction","Ultralytics selected effective batch=4 on 24GB RTX 3090; final mAP50=0.56591 mAP50-95=0.33777; source log: logs/yolo_ancient_chars_yolov8m_continue10_b0p8.log"
2026-05-22,local_val,olddet_newcls_tuned,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.12,0.45,0.38986,4191,5251,7867,0.443868,0.34757,0.38986,0.5,1191,12058,9442,"Kept strongest detector, swapped in resumed classifier and tuned thresholds; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20","Current best local validation result overall; source log: logs/olddet_newcls_tuned_eval.log"
2026-05-22,local_val,newdet_oldcls_tuned,YOLOv8m detector continue10 best (runs/yolo_ancient_chars_yolov8m_continue10_b0p8/weights/best.pt),Competition-domain Unicode classifier v2 crops (runs/competition_unicode_cls_v2_crops/best.pt),0.12,0.45,0.347808,3332,3770,8726,0.469164,0.276331,0.347808,0.5,1191,12058,7102,"Swapped in continued detector only with tuned thresholds; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20","Precision rose but recall dropped too much; source log: logs/newdet_oldcls_tuned_eval.log"
2026-05-22,local_val,newdet_newcls_tuned,YOLOv8m detector continue10 best (runs/yolo_ancient_chars_yolov8m_continue10_b0p8/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.12,0.45,0.382754,3804,4015,8254,0.486507,0.315475,0.382754,0.5,1191,12058,7819,"Combined both continued models with tuned thresholds; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20","Improved vs old classifier, but still below olddet_newcls; source log: logs/newdet_newcls_tuned_eval.log"
2026-05-22,training,yolo_ancient_chars_yolov8l_short5_b0p8,YOLOv8l detector trained from yolov8l.pt for 5 epochs,Competition-domain Unicode classifier resumed to epoch 12 (not used during detector training),,,0.3168,,,,,,,,"Short YOLOv8l probe at imgsz=1280 with AutoBatch target 0.8 VRAM fraction","AutoBatch selected batch=2 on 24GB RTX 3090; final detector mAP50=0.3168 mAP50-95=0.16724 after 5 epochs; source log: logs/yolo_ancient_chars_yolov8l_short5_b0p8.log"
2026-05-22,local_val,yolov8l_short5_newcls_tuned,YOLOv8l detector short5 best (runs/detect/runs/yolo_ancient_chars_yolov8l_short5_b0p8/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.12,0.45,0.340251,3115,3137,8943,0.498241,0.258335,0.340251,0.5,1191,12058,6252,"Tested YOLOv8l short training with current best classifier and tuned thresholds; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20","Precision improved, but recall dropped sharply and end-to-end F1 underperformed all current YOLOv8m best variants; source log: logs/yolov8l_short5_newcls_tuned_eval.log"
2026-05-22,local_val,baseline_rerun_20260522,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.12,0.45,0.3898604651162791,4191,5251,7867,0.4438678246134294,0.3475700779565434,0.3898604651162791,0.5,1191,12058,9442,Baseline rerun before new inference experiments,Rerun with current mainline parameters before coarse sweep; BOX_EXPAND_RATIO=0.00; CLASSIFY_MIN_PROB=0.20; CLASSIFY_MIN_MARGIN=0.00
2026-05-22 21:37:53,competition_submission,olddet_newcls_tuned_online_user_report,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.12,0.45,0.190546,2616,13679,8547,0.16054,0.234346,0.190546,0.5,1103,11163,16295,"User-reported online score for the current mainline submission","Strongest online score so far, +0.036676 absolute F1 over the previous online best 0.15387 (+23.84% relative); assumed to be the pushed olddet + resumed-classifier mainline with BOX_EXPAND_RATIO=0.00, CLASSIFY_MIN_PROB=0.20, CLASSIFY_MIN_MARGIN=0.00"
2026-05-22,local_val,infer_coarse_20260522_rank01,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.40635662537976164,4347,4990,7711,0.4655670986398201,0.36050754685685854,0.40635662537976164,0.5,1191,12058,9337,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=1; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.05; elapsed_sec=235.66968138329685
2026-05-22,local_val,infer_coarse_20260522_rank02,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.4057566019281822,4356,5057,7702,0.46276426219058747,0.36125393929341515,0.4057566019281822,0.5,1191,12058,9413,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=2; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.02; elapsed_sec=239.41064209584147
2026-05-22,local_val,infer_coarse_20260522_rank03,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.40567178056717806,4363,5089,7695,0.46159542953872196,0.3618344667440703,0.40567178056717806,0.5,1191,12058,9452,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=3; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.0; elapsed_sec=234.0018009925261
2026-05-22,local_val,infer_coarse_20260522_rank04,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.45,0.4055431961438636,4375,5143,7683,0.45965538978777054,0.3628296566594792,0.4055431961438636,0.5,1191,12058,9518,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=4; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.05; elapsed_sec=236.0438521048054
2026-05-22,local_val,infer_coarse_20260522_rank05,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.4055191768007484,4335,4987,7723,0.46502896374168634,0.3595123569414497,0.4055191768007484,0.5,1191,12058,9322,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=5; box_expand_ratio=0.01; cls_min_prob=0.3; cls_min_margin=0.05; elapsed_sec=233.33747368864715
2026-05-22,local_val,infer_coarse_20260522_rank06,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.4050326188257222,4346,5056,7712,0.4622420761540098,0.36042461436390777,0.4050326188257222,0.5,1191,12058,9402,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=6; box_expand_ratio=0.01; cls_min_prob=0.3; cls_min_margin=0.02; elapsed_sec=235.72032951936126
2026-05-22,local_val,infer_coarse_20260522_rank07,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.45,0.4049323419387613,4384,5211,7674,0.45690463783220425,0.3635760490960358,0.4049323419387613,0.5,1191,12058,9595,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=7; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.02; elapsed_sec=236.64316329918802
2026-05-22,local_val,infer_coarse_20260522_rank08,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.4048748720811238,4352,5088,7706,0.4610169491525424,0.36092220932161223,0.4048748720811238,0.5,1191,12058,9440,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=8; box_expand_ratio=0.01; cls_min_prob=0.3; cls_min_margin=0.0; elapsed_sec=229.77714075613767
2026-05-22,local_val,infer_coarse_20260522_rank09,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.45,0.40484971418034305,4391,5243,7667,0.45578160680921737,0.364156576546691,0.40484971418034305,0.5,1191,12058,9634,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=9; box_expand_ratio=0.0; cls_min_prob=0.3; cls_min_margin=0.0; elapsed_sec=238.92271223291755
2026-05-22,local_val,infer_coarse_20260522_rank10,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.45,0.4045819227380235,4362,5143,7696,0.458916359810626,0.3617515342511196,0.4045819227380235,0.5,1191,12058,9505,Inference coarse sweep on current best weights,Coarse sweep over det_conf/det_iou/box_expand_ratio/cls_min_prob/cls_min_margin; rank=10; box_expand_ratio=0.01; cls_min_prob=0.3; cls_min_margin=0.05; elapsed_sec=239.76314677670598
2026-05-22,local_val,infer_fine_20260522_rank01,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.40888005301524183,4319,4749,7739,0.4762902514336127,0.35818543705423783,0.40888005301524183,0.5,1191,12058,9068,Inference fine sweep around the best coarse configuration,Fine sweep over cls_min_prob/cls_min_margin around the best coarse point; rank=1; box_expand_ratio=0.0; cls_min_prob=0.33; cls_min_margin=0.07; elapsed_sec=227.91484771855175
2026-05-22,local_val,infer_fine_20260522_rank02,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.40883298657083406,4323,4767,7735,0.4755775577557756,0.3585171670260408,0.40883298657083406,0.5,1191,12058,9090,Inference fine sweep around the best coarse configuration,Fine sweep over cls_min_prob/cls_min_margin around the best coarse point; rank=2; box_expand_ratio=0.0; cls_min_prob=0.33; cls_min_margin=0.06; elapsed_sec=229.9997328966856
2026-05-22,local_val,infer_fine_20260522_rank03,YOLOv8m detector original best (runs/yolo_ancient_chars_yolov8m/weights/best.pt),Competition-domain Unicode classifier resumed to epoch 12 (runs/competition_unicode_cls_v2_crops_e12_resume/best.pt),0.08,0.4,0.4088246409674981,4327,4783,7731,0.47497255762897916,0.3588488969978438,0.4088246409674981,0.5,1191,12058,9110,Inference fine sweep around the best coarse configuration,Fine sweep over cls_min_prob/cls_min_margin around the best coarse point; rank=3; box_expand_ratio=0.0; cls_min_prob=0.33; cls_min_margin=0.05; elapsed_sec=229.33269985485822
